item_no	kband	word	word?	no
256	na	eldred	n	34
257	na	eluctant	n	35
258	na	escrotal	n	36
259	na	fluctual	n	37
260	na	galpin	n	38
261	na	glandle	n	39
262	na	gumm	n	40
263	na	gummer	n	41
264	na	hapgood	n	42
265	na	haque	n	43
266	na	homoglyph	n	44
267	na	horobin	n	45
268	na	horozone	n	46
269	na	hoult	n	47
270	na	hubbard	n	48
271	na	humberoid	n	49
272	na	jarvis	n	50
273	na	justal	n	51
274	na	kiley	n	52
275	na	lannery	n	53
276	na	lapidoscope	n	54
277	na	lauder	n	55
278	na	limidate	n	56
279	na	litholect	n	57
280	na	loveridge	n	58
281	na	menstruable	n	59
282	na	misabrogate	n	60
283	na	moffat	n	61
284	na	mundy	n	62
285	na	nickling	n	63
286	na	nonagrate	n	64
287	na	oestrogeny	n	65
288	na	oligation	n	66
289	na	opie	n	67
290	na	overend	n	68
291	na	oxylate	n	69
292	na	pauling	n	70
293	na	pernicate	n	71
294	na	pocock	n	72
295	na	pring	n	73
296	na	quorant	n	74
297	na	ralling	n	75
298	na	recenticle	n	76
299	na	reservory	n	77
300	na	retrogradient	n	78
301	na	ridout	n	79
302	na	rudge	n	80
303	na	scudamore	n	81
304	na	scurrilize	n	82
305	na	semaphrodite	n	83
306	na	snell	n	84
307	na	stace	n	85
308	na	stimulcrate	n	86
309	na	suddery	n	87
310	na	tooley	n	88
311	na	troake	n	89
312	na	trudgeon	n	90
313	na	twose	n	91
314	na	venn	n	92
315	na	vickery	n	93
316	na	webbert	n	94
317	na	whaley	n	95
318	na	whitrow	n	96
319	na	wilding	n	97
320	na	woolnough	n	98
321	na	wray	n	99
322	na	abstair	n	100
323	na	forfert	n	101
324	na	infecent	n	102
325	na	sircastic	n	103
326	na	erramic	n	104
327	na	prolley	n	105
328	na	sunscribe	n	106
329	na	desiglate	n	107
330	na	auflict	n	108
331	na	reatangle	n	109
332	na	shringent	n	110
333	na	briening	n	111
334	na	discrent	n	112
335	na	officacy	n	113
336	na	altograph	n	114
337	na	bankrust	n	115
338	na	imigate	n	116
339	na	custony	n	117
340	na	piquidate	n	118
341	na	aportle	n	119
342	na	scother	n	120
343	na	confulate	n	121
344	na	animote	n	122
345	na	imputate	n	123
346	na	mercusy	n	124
347	na	insustent	n	125
348	na	sinterity	n	126
349	na	teometry	n	127
350	na	anasytic	n	128
351	na	speetral	n	129
352	na	maxidise	n	130
353	na	antidoth	n	131
354	na	proster	n	132
355	na	telerant	n	133
356	na	recundant	n	134
357	na	ludierous	n	135
358	na	obsolate	n	136
359	na	elenator	n	137
360	na	regrain	n	138
361	na	preachet	n	139
362	na	utilisk	n	140
363	na	induption	n	141
364	na	entrave	n	142
365	na	lypocrisy	n	143
366	na	bracenet	n	144
367	na	sapirical	n	145
